,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
106,62887438.76516625,62914386.88033957,62913635.14335856,62894981.13902403,62940372.43635394,62920064.60868722,62923650.59396453,62909555.41147041,62887428.9382009,63068641.24326593
107,62887438.76516626,62914386.88033957,62913635.143358566,62894981.139024034,62940372.436353944,62920064.60868723,62923650.59396453,62909555.41147041,62887428.93820091,63068950.78185667
108,62887438.76516626,62914386.88033956,62913635.143358566,62894981.139024034,62940372.43635395,62920064.60868723,62923650.59396454,62909555.41147042,62887428.93820091,63069260.320447415
109,62887438.76516625,62914386.880339555,62913635.14335856,62894981.13902403,62940372.436353944,62920064.60868722,62923650.593964525,62909555.4114704,62887428.938200906,63069110.21603249
110,62887438.76516625,62914386.880339555,62913635.143358566,62894981.13902402,62940372.436353944,62920064.60868723,62923650.59396453,62909555.411470406,62887428.938200906,63068916.89346857
111,62887438.76516626,62914386.88033955,62913635.14335855,62894981.13902402,62940372.436353944,62920064.60868723,62923650.59396454,62909555.411470406,62887428.938200906,63068758.695044085
112,62887438.76516625,62914386.880339555,62913635.14335855,62894981.13902402,62940372.436353944,62920064.60868723,62923650.59396453,62909555.4114704,62887428.938200906,63068603.98435974
113,62887438.76516626,62914386.880339555,62913635.14335855,62894981.13902402,62940372.436353944,62920064.60868724,62923650.59396454,62909555.411470406,62887428.938200906,63068451.23036736
114,62887438.76516626,62914386.880339555,62913635.14335856,62894981.13902403,62940372.43635394,62920064.60868724,62923650.59396454,62909555.411470406,62887428.9382009,63068523.759366624
115,62887438.76516626,62914386.880339555,62913635.14335854,62894981.13902403,62940372.43635393,62920064.60868723,62923650.59396454,62909555.411470406,62887428.9382009,63068833.29795737
116,62887438.76516626,62914386.88033956,62913635.14335855,62894981.13902403,62940372.43635392,62920064.60868724,62923650.59396454,62909555.411470406,62887428.9382009,63069129.5552537
117,62887438.76516625,62914386.880339555,62913635.14335854,62894981.13902402,62940372.43635392,62920064.60868724,62923650.59396453,62909555.411470406,62887428.93820089,63068974.9148182
118,62887438.76516625,62914386.88033956,62913635.14335855,62894981.13902403,62940372.43635393,62920064.60868724,62923650.59396453,62909555.4114704,62887428.9382009,63068781.19601867
119,62887438.765166245,62914386.88033956,62913635.14335855,62894981.13902403,62940372.43635393,62920064.60868724,62923650.59396454,62909555.411470406,62887428.938200906,63068623.33124071
120,62887438.76516625,62914386.88033956,62913635.143358536,62894981.13902403,62940372.43635393,62920064.60868723,62923650.59396454,62909555.411470406,62887428.938200906,63068469.07774132
121,62887438.76516625,62914386.880339555,62913635.143358536,62894981.139024034,62940372.43635394,62920064.60868723,62923650.59396454,62909555.411470406,62887428.938200906,63068314.610025436
122,62887438.76516625,62914386.88033955,62913635.143358536,62894981.139024034,62940372.43635394,62920064.60868723,62923650.59396454,62909555.411470406,62887428.938200906,63068569.19758753
123,62887438.76516625,62914386.88033955,62913635.14335853,62894981.139024034,62940372.43635393,62920064.60868722,62923650.59396453,62909555.411470406,62887428.938200906,63068878.736178264
124,62887438.76516625,62914386.88033954,62913635.14335853,62894981.139024034,62940372.43635394,62920064.608687215,62923650.59396453,62909555.411470406,62887428.938200906,63069188.27476901
125,62887438.765166245,62914386.880339526,62913635.14335852,62894981.13902403,62940372.43635392,62920064.6086872,62923650.593964525,62909555.4114704,62887428.9382009,63069041.68312041
126,62887438.765166245,62914386.880339526,62913635.14335851,62894981.13902403,62940372.436353914,62920064.6086872,62923650.593964525,62909555.4114704,62887428.93820089,63068848.078439966
127,62887438.76516623,62914386.880339526,62913635.14335851,62894981.13902401,62940372.43635392,62920064.6086872,62923650.59396453,62909555.4114704,62887428.93820088,63068690.44357643
