,KE0 0 battery charger,KE0 1 battery charger,KE0 2 battery charger,KE0 3 battery charger,KE0 4 battery charger,KE0 5 battery charger,KE0 6 battery charger,KE0 7 battery charger,KE0 8 battery charger,KE1 0 battery charger,KE0 0 battery discharger,KE0 1 battery discharger,KE0 2 battery discharger,KE0 3 battery discharger,KE0 4 battery discharger,KE0 5 battery discharger,KE0 6 battery discharger,KE0 7 battery discharger,KE0 8 battery discharger,KE1 0 battery discharger
30,-1.1048035293259478e-09,-1.1064001254388674e-09,-1.1075667868543997e-09,-1.097488349253925e-09,-1.107213642791491e-09,-1.1058243421508136e-09,-1.1101975651548002e-09,-1.106370564740125e-09,-1.107658330710796e-09,-6.781555241258698e-10,-1.2048976337225446e-09,-1.202570241086469e-09,-1.2013347373192442e-09,-1.2141113843761337e-09,-1.2020764025159843e-09,-1.2037652117748602e-09,-1.198099542515119e-09,-1.2030006644326832e-09,-1.2010191769645149e-09,-62.149721852385746
31,-1.1047914308933104e-09,-1.1063867241044104e-09,-1.1075577165027362e-09,-1.0974849347612258e-09,-1.1071979825774244e-09,-1.1058258412799005e-09,-1.1101802361134094e-09,-1.106355917001558e-09,-1.1076570503615542e-09,-6.781555234075735e-10,-1.2048730922446407e-09,-1.2025443320264574e-09,-1.2013204746418958e-09,-1.2140644196116694e-09,-1.2020502261392809e-09,-1.2037344257565823e-09,-1.1980616293657943e-09,-1.202974850134252e-09,-1.2009883649332394e-09,-48.78694388307768
32,-1.1047769910028424e-09,-1.1063723804502741e-09,-1.1075490606960958e-09,-1.0974644236045128e-09,-1.1071838800344275e-09,-1.1058161833601923e-09,-1.110163417108514e-09,-1.1063415883133378e-09,-1.10764862441209e-09,-6.78155523381748e-10,-1.204872988402978e-09,-1.2025434871066528e-09,-1.2013209826994627e-09,-1.2140605856254613e-09,-1.2020501701762672e-09,-1.2037331768241145e-09,-1.1980603091680642e-09,-1.2029739102022352e-09,-1.2009881435003529e-09,-48.05117135477039
33,-1.1047859671716798e-09,-1.1063771131787862e-09,-1.1075557637599863e-09,-1.097483009998975e-09,-1.1071933462753953e-09,-1.1058223358716715e-09,-1.110172613574605e-09,-1.106346030206331e-09,-1.1076568551774574e-09,-6.781555226367328e-10,-1.2048732263152891e-09,-1.2025422774784893e-09,-1.201315478620117e-09,-1.2140615000375154e-09,-1.202050579716476e-09,-1.203733576470833e-09,-1.1980609819370129e-09,-1.2029724494811292e-09,-1.2009909183693606e-09,-38.17391972147688
34,-1.1047126639921604e-09,-1.1063051589570043e-09,-1.1075202198022735e-09,-1.0973958614963816e-09,-1.1071284223483102e-09,-1.1057903763023308e-09,-1.1101197821215042e-09,-1.106274610726932e-09,-1.107635404972663e-09,-103.17953024792418,-1.205109921716708e-09,-1.2027494310685889e-09,-1.2015543217025284e-09,-1.2143635424855448e-09,-1.202267106755551e-09,-1.203957498589995e-09,-1.1982859352898009e-09,-1.203181847006337e-09,-1.2012129565926838e-09,-5.553094865479674e-11
35,-2.760314792512387e-09,-2.7600847544655206e-09,-2.7602144021709894e-09,-2.760548234368597e-09,-2.7603552835215827e-09,-2.760389629067584e-09,-2.760145687715731e-09,-2.7602984410333605e-09,-2.760108480242466e-09,-103.17953024792418,-1.2467344181088827e-10,-1.2463802776623053e-10,-1.2461781672631947e-10,-1.2481450594112016e-10,-1.24629519558897e-10,-1.2465474522181548e-10,-1.2456765308148559e-10,-1.2464399475398946e-10,-1.24613113268005e-10,-5.553094873911705e-11
36,-1.104718053974268e-09,-1.106316765084777e-09,-1.1075222059092836e-09,-1.0973941996811007e-09,-1.1071400369877477e-09,-1.1057863777039637e-09,-1.1101312662819833e-09,-1.1062849261367339e-09,-1.1076302616789692e-09,-103.17953024792418,-1.2051129928219348e-09,-1.2027435678053204e-09,-1.2015497790030887e-09,-1.2144145387714094e-09,-1.2022628952643943e-09,-1.2039609075236913e-09,-1.1983082714068503e-09,-1.2031802223119724e-09,-1.2012176208736943e-09,-5.5530948604369827e-11
37,-4.455795506590824e-11,-4.4561625632893594e-11,-4.4564297526754816e-11,-4.4541286417582204e-11,-4.4563371975812115e-11,-4.456032367498351e-11,-4.457014191565796e-11,-4.45614732079599e-11,-4.456457396080883e-11,-6.781555234899861e-10,-2.962424854750664e-09,-2.962146666208332e-09,-2.962255707136255e-09,-2.962836622890925e-09,-2.9624128627079766e-09,-2.962479331308321e-09,-2.962124681743232e-09,-2.96237228216065e-09,-2.962141768269594e-09,-51.24624591038242
38,-1.104821047344051e-09,-1.1063999946368997e-09,-1.1075687523677962e-09,-1.0974563723244642e-09,-1.1072256065449131e-09,-1.1058347501727775e-09,-1.1101627470196964e-09,-1.1063710633715794e-09,-1.1076650299831341e-09,-6.781555240405985e-10,-1.2049117691045813e-09,-1.2025738200364751e-09,-1.20136801593649e-09,-1.2140812788002696e-09,-1.2020884988777954e-09,-1.2037577081445017e-09,-1.1980847779731245e-09,-1.2030044541493187e-09,-1.2010160992585774e-09,-60.67954029031603
39,-1.1047728966330939e-09,-1.106369551791194e-09,-1.1075505457917775e-09,-1.0974685734706904e-09,-1.1071804753540797e-09,-1.1058157771978097e-09,-1.1101671409263124e-09,-1.10633833179735e-09,-1.1076490161048334e-09,-6.781555234067373e-10,-1.204872620108803e-09,-1.2025436276703987e-09,-1.201318306301603e-09,-1.2140618669655432e-09,-1.2020497709343568e-09,-1.2037325249679965e-09,-1.1980604737211784e-09,-1.2029740462623043e-09,-1.2009877164027946e-09,-49.02431593439883
