,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
71,1.503205491275109e-10,1.4630171128323482e-10,1.4384925115189847e-10,1.6724828335543459e-10,1.449708829612931e-10,1.4808107488408956e-10,1.3785483190947541e-10,1.4678125652362087e-10,1.4338704181805955e-10,52.68705903244239
72,1.50333878530873e-10,1.4630856070048578e-10,1.438331796275392e-10,1.6718328587839642e-10,1.4498271653724987e-10,1.4808436694784891e-10,1.3781555834413756e-10,1.4678799430892237e-10,1.4339058642161874e-10,51.55270375849506
73,1.5031650228546578e-10,1.4629416792413843e-10,1.4385133485713983e-10,1.672744977044983e-10,1.449663350198398e-10,1.480767115045977e-10,1.378834223902524e-10,1.4677363319618715e-10,1.4338451594875748e-10,42.240726092348204
74,1.503909140311041e-10,1.4634249458530394e-10,1.4385921521974144e-10,1.673316143105724e-10,1.4500778762478642e-10,1.4814712750599833e-10,1.3782826184517797e-10,1.468128557040238e-10,1.4341858597989233e-10,-103.17953024786634
75,1.5023875400918655e-10,1.462433880194121e-10,1.4377303310471827e-10,1.6697364435270625e-10,1.449339064647412e-10,1.47946884986708e-10,1.377400586325427e-10,1.4672384595627533e-10,1.432453148830956e-10,-103.17953024786634
76,1.504136034070153e-10,1.463784504337491e-10,1.439454034091619e-10,1.6745486642429493e-10,1.4505185576451974e-10,1.4816859739874288e-10,1.3799501434872675e-10,1.4685831170825904e-10,1.4345584504519822e-10,-103.17953024786634
77,3.0413012304127343e-09,3.0410077775537e-09,3.041118710720768e-09,3.0417468031684884e-09,3.0412833165977366e-09,3.0413556072698916e-09,3.0409763415062986e-09,3.041242946190285e-09,3.040999727155446e-09,50.09704453559369
78,1.6918539846941142e-09,1.689606831212107e-09,1.688451515532837e-09,1.7004357730057621e-09,1.6892463442285681e-09,1.6907814311898478e-09,1.6854266049263068e-09,1.6900666672570885e-09,1.6881315010741053e-09,64.50907663266338
79,1.5031168997624932e-10,1.4628559575710377e-10,1.4381347852448798e-10,1.6716562901517812e-10,1.449618746663427e-10,1.4807585637962188e-10,1.378018549636094e-10,1.4676510239470544e-10,1.4338340482380613e-10,52.96485956466828
80,1.503024140781073e-10,1.4628060625144707e-10,1.438461346742713e-10,1.6723341866962328e-10,1.4495108349848622e-10,1.480743050733994e-10,1.3784967012159046e-10,1.4676024612348102e-10,1.433826638852651e-10,51.5512125477705
81,1.5029246985899067e-10,1.4627172322453735e-10,1.4384042475998395e-10,1.6722594039939688e-10,1.4494364764878465e-10,1.480678714965574e-10,1.3784687122960792e-10,1.4675127650333968e-10,1.4337645292884397e-10,49.310449326392586
